ZCTA,Mean Household Income
00601,20330
00602,24905
00603,26735
00606,17504
00610,22769
00612,26767
00616,22244
00617,22188
00622,24658
00623,25033
00624,20822
00627,26713
00631,14046
00637,22116
00638,18148
00641,21829
00646,43156
00647,18267
00650,20200
00652,26593
00653,18717
00656,21599
00659,27031
00660,26855
00662,22760
00664,22013
00667,19179
00669,18929
00670,19168
00674,27017
00676,22212
00677,23129
00678,20825
00680,23498
00682,29978
00683,23776
00685,20074
00687,22047
00688,20178
00690,27282
00692,29696
00693,25953
00694,14295
00698,22768
00703,22978
00704,18423
00705,23580
00707,23726
00714,22437
00715,25786
00716,32170
00717,21163
00718,27469
00719,27358
00720,19558
00723,20719
00725,30593
00727,41420
00728,26248
00729,30702
00730,27670
00731,24062
00735,27964
00736,32870
00738,27995
00739,33983
00740,21366
00741,25496
00745,30147
00751,21607
00754,27051
00757,24583
00765,22505
00766,24516
00767,21938
00769,25456
00771,27690
00772,21071
00773,27923
00775,23153
00777,26409
00778,42060
00780,41695
00782,20356
00783,23295
00784,24914
00786,25979
00791,30682
00794,22349
00795,26174
00901,58203
00906,36639
00907,64912
00909,25776
00911,48640
00912,32975
00913,22433
00915,17884
00917,26926
00918,44869
00920,35134
00921,28654
00923,23785
00924,29058
00925,20096
00926,56032
00927,64543
00934,82266
00936,No Data
00949,33725
00950,No Data
00951,No Data
00952,24370
00953,40942
00956,30173
00957,32604
00959,36437
00960,No Data
00961,41447
00962,23187
00965,19928
00966,85477
00968,70309
00969,71142
00971,36237
00976,42783
00979,54354
00982,33203
00983,37476
00985,32847
00987,39365
01001,69679
01002,80649
01003,No Data
01005,78253
01007,85317
01008,79290
01009,52565
01010,91321
01011,72138
01012,72903
01013,50571
01020,65325
01022,64512
01026,71732
01027,70238
01028,97738
01029,62138
01030,80900
01031,56224
01032,71766
01033,83769
01034,82502
01035,93568
01036,96650
01037,104647
01038,80493
01039,81151
01040,52568
01050,65261
01053,66495
01054,101952
01056,77691
01057,80420
01060,77641
01062,97269
01063,No Data
01066,No Data
01068,85615
01069,70329
01070,67045
01071,82117
01072,83734
01073,83962
01074,55978
01075,76815
01077,98364
01079,61421
01080,49743
01081,69793
01082,65905
01083,56113
01084,81689
01085,74931
01086,No Data
01088,46818
01089,66524
01092,66313
01093,99275
01094,54665
01095,103337
01096,88980
01097,33550
01098,76583
01103,31970
01104,43810
01105,29251
01106,145162
01107,34977
01108,51342
01109,41578
01118,71727
01119,60855
01128,78033
01129,67858
01151,44071
01199,No Data
01201,60070
01220,55505
01222,85235
01223,89401
01224,53268
01225,69817
01226,69352
01229,51903
01230,81600
01235,72988
01236,80996
01237,100447
01238,80868
01240,88866
01242,59325
01243,96850
01244,51020
01245,86093
01247,51684
01253,77960
01254,117732
01255,74270
01256,65139
01257,79589
01258,82072
01259,81854
01260,50958
01262,84835
01264,109303
01266,95546
01267,101941
01270,82724
01301,60190
01330,85052
01331,59770
01337,68257
01338,88537
01339,66222
01340,65014
01341,99281
01342,134059
01343,80539
01344,62294
01346,78993
01347,37459
01349,63683
01350,45327
01351,79142
01354,79255
01355,76083
01360,75406
01364,52624
01366,85557
01367,67790
01368,71030
01370,69731
01373,71652
01375,70370
01376,56624
01378,66564
01379,52122
01420,59616
01430,96599
01431,89116
01432,85858
01434,107905
01436,76970
01438,57851
01440,56335
01450,133352
01451,168315
01452,92237
01453,71623
01460,128875
01462,90262
01463,96492
01464,80130
01467,204797
01468,77057
01469,97735
01473,93771
01474,103048
01475,70057
01501,85876
01503,118467
01504,87147
01505,133545
01506,77786
01507,96291
01510,73130
01515,85513
01516,95210
01518,75841
01519,116239
01520,115351
01521,77082
01522,112374
01523,106351
01524,72740
01525,51358
01527,83741
01529,96182
01531,96572
01532,124388
01534,108195
01535,72026
01536,102034
01537,76886
01540,77739
01541,130691
01542,86026
01543,101210
01545,113832
01550,55530
01560,99521
01561,33748
01562,72369
01564,113836
01566,109627
01568,117254
01569,95987
01570,63725
01571,81473
01581,117580
01583,95229
01585,84390
01588,79345
01590,126717
01602,81179
01603,58912
01604,61008
01605,53892
01606,78737
01607,56793
01608,30395
01609,70599
01610,42560
01611,83044
01612,117267
01701,102732
01702,72647
01718,130454
01719,144655
01720,146459
01721,117869
01730,141727
01731,92203
01740,161818
01741,221688
01742,191789
01745,102603
01746,124408
01747,104827
01748,163576
01749,92775
01752,90801
01754,99479
01756,131473
01757,87078
01760,124741
01770,229656
01772,198721
01773,213462
01775,142245
01776,222564
01778,186134
01801,90269
01803,109990
01810,151129
01821,105708
01824,117270
01826,90944
01827,132356
01830,74422
01832,77530
01833,124459
01834,108108
01835,84080
01840,34792
01841,45271
01843,57244
01844,82980
01845,130824
01850,62636
01851,65235
01852,63370
01854,55079
01860,93058
01862,97443
01863,90966
01864,131409
01867,126486
01876,105861
01879,117923
01880,102434
01886,144483
01887,112923
01890,191192
01901,35586
01902,54022
01904,91724
01905,62139
01906,87153
01907,135798
01908,89179
01913,96957
01915,97579
01921,165614
01922,119088
01923,96145
01929,121397
01930,86855
01937,No Data
